Preamble	ID	age	Children	Ed_Years	Gender	Income	Age_if_Both	Age_if_Physically	Age_if_Mentally	Expected_Longevity	Health	Science_Interest	Religiosity	Life_Satisfaction	Self_Esteem	Optimism	Diseases
negative	73993074	29.5	0	4	Female	37500	Unlimited	120	120	74.5	0	3	2	1	-1	1	0
negative	73992778	59.5	1	0	Female	12500	120	120	120	74.5	1	1	3	1	1	1	1
negative	73992226	21	0	2	Male	150000	120	85	120	94.5	-1	4	3	1	1	1	0
negative	73992222	21	2	2	Female	12500	120	85	85	74.5	0	4	4	0	1	2	0
negative	73992262	39.5	0	0	Female	150000	Unlimited	Unlimited	150	109.5	-1	3	4	-2	-2	-2	1
negative	73992246	29.5	1	6	Female	62500	150	85	150	94.5	1	4	0	1	1	2	3
negative	73992290	29.5	1	6	Female	87500	120	85	120	94.5	1	3	0	1	1	1	0
negative	73992286	49.5	2	2	Female	62500	120	120	120	109.5	1	4	4	2	2	2	0
negative	73992266	70	2	2	Female	62500	Unlimited	Unlimited	Unlimited	180	2	4	4	2	2	2	0
negative	73992294	21	0	2	Male	12500	Unlimited	Unlimited	120	94.5	1	4	2	0	1	2	0
negative	73992278	49.5	0	2	Female	37500	120	85	150	84.5	1	2	4	1	1	2	0
negative	73992242	21	1	0	Male	12500	Unlimited	150	120	65	1	3	4	2	-1	-2	0
negative	73992306	59.5	0	2	Female	12500	Unlimited	Unlimited	Unlimited	94.5	1	3	3	-1	-1	-1	0
negative	73992302	39.5	2	0	Male	37500	120	120	120	84.5	0	1	1	0	-1	1	0
negative	73992330	21	1	2	Female	12500	120	85	85	74.5	0	2	2	-1	1	-2	0
negative	73992314	59.5	0	4	Female	87500	120	85	120	84.5	1	2	1	1	-1	1	1
negative	73992254	49.5	2	4	Female	62500	Unlimited	120	120	94.5	0	4	4	1	1	2	0
negative	73992326	21	1	2	Female	37500	85	85	85	84.5	1	2	3	1	2	1	0
negative	73992322	49.5	0	6	Male	150000	150	150	150	84.5	1	4	4	2	2	2	0
negative	73992338	59.5	3	2	Female	12500	Unlimited	Unlimited	Unlimited	94.5	2	3	4	1	2	2	0
negative	73992350	29.5	0	2	Male	12500	85	85	85	74.5	0	4	0	0	-1	1	2
negative	73992390	29.5	0	2	Male	62500	85	85	85	84.5	2	4	3	1	2	2	0
negative	73992354	29.5	0	4	Female	62500	150	85	150	84.5	1	3	2	2	1	2	0
negative	73992366	49.5	1	2	Male	12500	85	120	150	84.5	1	3	3	2	-2	2	0
negative	73992370	21	2	2	Female	37500	Unlimited	85	Unlimited	109.5	0	4	0	0	-1	2	0
negative	73992386	29.5	2	2	Female	37500	85	85	85	65	-2	1	2	0	-1	1	4
negative	73992382	39.5	1	2	Female	12500	120	85	85	84.5	-1	0	2	0	-1	2	2
negative	73992274	21	0	2	Male	37500	Unlimited	120	150	109.5	1	4	1	1	1	1	0
negative	73992378	39.5	1	0	Female	12500	Unlimited	85	85	65	-1	4	0	0	-2	-2	3
negative	73992406	21	1	2	Male	750000	85	85	85	84.5	1	3	0	1	1	1	0
negative	73992374	29.5	2	2	Female	12500	120	85	85	84.5	2	3	4	1	1	2	0
negative	73992418	49.5	0	0	Female	12500	Unlimited	120	85	84.5	1	2	3	0	1	1	0
negative	73992442	21	0	2	Male	37500	Unlimited	Unlimited	120	94.5	1	4	1	0	1	1	2
negative	73992430	29.5	0	0	Male	62500	Unlimited	Unlimited	Unlimited	180	1	4	3	0	1	1	0
negative	73992426	49.5	0	6	Female	12500	Unlimited	85	120	65	0	2	4	1	-1	1	0
negative	73992482	21	0	0	Male	37500	120	120	120	84.5	1	4	3	1	2	2	0
negative	73992450	59.5	0	0	Male	37500	Unlimited	Unlimited	Unlimited	94.5	0	3	2	0	1	1	1
negative	73992478	39.5	3	2	Female	37500	150	85	85	84.5	1	4	0	0	2	1	0
negative	73992486	49.5	0	0	Male	12500	85	85	85	84.5	0	1	2	0	1	1	5
negative	73992498	21	0	2	Male	12500	150	Unlimited	120	94.5	1	4	0	1	1	2	2
negative	73992534	39.5	2	4	Female	87500	Unlimited	Unlimited	120	84.5	2	4	0	1	1	2	0
negative	73992502	21	0	4	Female	12500	150	85	150	84.5	0	2	0	0	-2	-1	1
negative	73992514	29.5	1	2	Male	12500	85	85	85	65	1	2	0	0	2	1	0
negative	73992506	21	0	2	Male	12500	Unlimited	Unlimited	120	84.5	0	3	1	0	1	2	0
negative	73992550	39.5	1	6	Female	37500	120	85	85	94.5	2	4	4	2	2	1	1
negative	73992510	29.5	0	6	Female	62500	Unlimited	150	85	84.5	-2	4	3	1	-1	1	1
negative	73992522	29.5	2	4	Female	12500	85	85	85	84.5	0	3	3	0	1	2	0
negative	73992558	29.5	1	2	Female	12500	85	85	150	94.5	1	3	4	1	2	2	0
negative	73992586	70	2	0	Female	37500	85	85	85	84.5	0	2	2	1	1	1	1
negative	73992574	29.5	3	0	Female	12500	120	85	120	84.5	0	1	3	1	-2	1	3
negative	73992658	29.5	0	2	Male	37500	Unlimited	85	85	74.5	0	3	0	0	1	1	0
negative	73992606	21	3	0	Male	12500	Unlimited	Unlimited	Unlimited	180	1	4	0	0	1	2	0
